"","track.name","track.popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track.duration_ms","track.explicit","playlist_name"
"87","Dancing With A Stranger (with Normani)",80,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,171029,FALSE,"Top Hits of 2019"
"88","Talk (feat. Disclosure)",74,0.901,0.4,0,-8.575,1,0.126,0.051,0,0.0599,0.346,135.984,197573,FALSE,"Top Hits of 2019"
"89","Mad Love",5,0.631,0.803,0,-2.974,0,0.155,0.675,0,0.11,0.62,198.065,169813,FALSE,"Top Hits of 2019"
"90","Dance Monkey",87,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,209438,FALSE,"Top Hits of 2019"
"91","Motivation",73,0.599,0.887,4,-3.967,1,0.0984,0.0192,1.21e-06,0.3,0.881,170.918,193837,FALSE,"Top Hits of 2019"
"92","Goodbyes (Feat. Young Thug)",11,0.58,0.653,5,-3.818,1,0.0745,0.447,0,0.111,0.175,150.231,174960,TRUE,"Top Hits of 2019"
"93","What I Like About You (feat. Theresa Rex)",69,0.46,0.8,1,-3.584,1,0.05,0.289,6.16e-06,0.121,0.553,102.46,220396,FALSE,"Top Hits of 2019"
"94","High Hopes",81,0.579,0.904,5,-2.729,1,0.0618,0.193,0,0.064,0.681,82.014,190946,FALSE,"Top Hits of 2019"
"95","Only Human",73,0.795,0.496,0,-5.883,1,0.0722,0.108,0,0.0645,0.874,94.01,183000,FALSE,"Top Hits of 2019"
"96","SOS (feat. Aloe Blacc)",75,0.802,0.645,5,-6.181,0,0.0715,0.272,0,0.119,0.376,100.001,157202,FALSE,"Top Hits of 2019"
"97","Better",71,0.442,0.585,0,-10.332,0,0.0964,0.0984,0.391,0.14,0.116,97.565,229412,FALSE,"Top Hits of 2019"
"98","Hold Me While You Wait",79,0.688,0.53,11,-5.507,1,0.0333,0.443,0,0.0995,0.162,106.958,205686,FALSE,"Top Hits of 2019"
"99","Panini",73,0.703,0.594,5,-6.146,0,0.0752,0.342,0,0.123,0.475,153.848,114893,FALSE,"Top Hits of 2019"
"100","when the party's over",84,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,196077,FALSE,"Top Hits of 2019"
"101","Lover",77,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,221306,FALSE,"Top Hits of 2019"
"102","Ride It",85,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,157605,FALSE,"Top Hits of 2019"
"103","Bruises",82,0.736,0.308,4,-7.83,1,0.0677,0.946,0,0.186,0.361,111.202,220492,FALSE,"Top Hits of 2019"
"104","Nights Like This (feat. Ty Dolla $ign)",76,0.61,0.725,8,-5.131,1,0.15,0.367,0,0.154,0.291,146.163,201787,TRUE,"Top Hits of 2019"
"105","Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",69,0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,212500,TRUE,"Top Hits of 2019"
"106","Wow.",81,0.829,0.539,11,-7.359,0,0.208,0.136,1.78e-06,0.103,0.388,99.96,149546,TRUE,"Top Hits of 2019"
"107","3 Nights",77,0.815,0.518,7,-6.594,0,0.0897,0.223,0,0.104,0.877,151.891,177666,FALSE,"Top Hits of 2019"
"108","One Thing Right",75,0.659,0.623,4,-2.253,1,0.0451,0.0667,0,0.582,0.439,88.042,181823,FALSE,"Top Hits of 2019"
"109","Slide Away",73,0.53,0.538,5,-6.672,1,0.0335,0.17,2.83e-06,0.248,0.288,148.051,233654,FALSE,"Top Hits of 2019"
