"","danceability","energy","loudness","mode","speechiness","instrumentalness","valence","tempo","track.duration_ms","track.explicit","track.popularity","track.name","key_name","track.album.release_date","mode_name","key_mode"
"18",0.685,0.848,-4.561,0,0.0858,7.14e-06,0.761,179.87,163084,TRUE,79,"La Difícil","G#","2020-02-28","minor","G# minor"
"19",0.654,0.672,-5.98,0,0.311,0,0.343,181.857,249520,FALSE,79,"Hola - Remix","C","2019-11-01","minor","C minor"
"20",0.805,0.562,-3.117,0,0.105,4.96e-06,0.767,172.094,184254,FALSE,79,"Relación","G","2020-05-21","minor","G minor"
"21",0.606,0.853,-2.975,1,0.0545,0,0.822,178.043,209765,FALSE,75,"Favorito","A","2020-04-17","major","A major"
"22",0.744,0.868,-4.524,1,0.047,0,0.586,93.037,206420,TRUE,80,"La Santa","C#","2020-02-28","major","C# major"
"23",0.723,0.704,-7.088,0,0.0571,0.00109,0.684,105.095,214934,TRUE,49,"RITMO (Bad Boys For Life)","A#","2020-06-18","minor","A# minor"
"24",0.644,0.35,-5.924,0,0.0783,0,0.541,118.206,240456,FALSE,62,"Yo Ya No Vuelvo Contigo - En Vivo","E","2020-05-01","minor","E minor"
"25",0.801,0.745,-3.733,0,0.063,0.00603,0.245,104.965,214013,TRUE,78,"Diosa","F#","2020-01-24","minor","F# minor"
"26",0.755,0.617,-5.144,1,0.182,0,0.745,193.896,202886,FALSE,74,"Tattoo","A","2020-02-13","major","A major"
"27",0.824,0.631,-2.791,1,0.0809,0.000116,0.678,171.965,197721,FALSE,79,"Elegí (feat. Dímelo Flow)","C","2020-03-26","major","C major"
"28",0.87,0.706,-5.395,0,0.126,0.0063,0.593,100.013,145800,FALSE,68,"Blanco","A","2019-11-15","minor","A minor"
"29",0.86,0.791,-4.784,1,0.0568,0.000106,0.887,92.023,175918,FALSE,79,"A Tu Merced","C","2020-02-28","major","C major"
"30",0.845,0.677,-4.798,0,0.136,0.000917,0.68,90.013,219048,FALSE,87,"La Curiosidad","B","2020-06-12","minor","B minor"
"31",0.641,0.857,-5.725,0,0.301,0.00534,0.961,122.728,157733,FALSE,76,"Amarillo","C#","2020-03-19","minor","C# minor"
"32",0.718,0.712,-4.366,1,0.174,0.00121,0.531,180.034,189653,FALSE,86,"Ay, DiOs Mío!","B","2020-07-10","major","B major"
"33",0.728,0.806,-3.766,1,0.0623,0.000301,0.698,168.084,217546,FALSE,81,"Caramelo","F#","2020-06-11","major","F# major"
"34",0.88,0.751,-4.258,0,0.0874,6.43e-05,0.884,117.948,157605,FALSE,85,"Ride It","G","2019-07-26","minor","G minor"
"35",0.76,0.658,-5.275,1,0.275,0,0.565,100.202,157944,FALSE,81,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie","G","2020-07-09","major","G major"
"36",0.651,0.761,-4.805,0,0.063,0,0.433,89.024,186946,FALSE,72,"Sodio","A","2020-02-07","minor","A minor"
"37",0.73,0.729,-3.434,0,0.0883,1.39e-06,0.467,113.013,221820,FALSE,83,"Break My Heart","E","2020-03-27","minor","E minor"
"38",0.724,0.443,-3.743,1,0.0329,0,0.763,97.194,177791,FALSE,78,"La Mitad","G","2020-04-17","major","G major"
"39",0.787,0.673,-4.577,0,0.158,3.57e-06,0.786,110.962,237893,TRUE,84,"Say So","B","2019-11-07","minor","B minor"
"40",0.571,0.693,-8.234,0,0.0545,0,0.393,168.169,232253,FALSE,87,"UN DIA (ONE DAY) (Feat. Tainy)","F#","2020-07-24","minor","F# minor"
"41",0.535,0.714,-5.753,0,0.0329,2.91e-06,0.458,100.059,221553,FALSE,75,"Amor Tumbado","F#","2019-12-24","minor","F# minor"
"42",0.658,0.901,-2.814,1,0.0357,0,0.708,93.979,210520,FALSE,74,"Que Tire Pa Lante","G","2019-10-18","major","G major"
"43",0.726,0.431,-8.765,0,0.135,0,0.348,144.026,173333,FALSE,87,"death bed (coffee for your head)","G#","2020-02-08","minor","G# minor"
"44",0.548,0.816,-4.209,1,0.0465,0,0.557,95.39,174000,FALSE,89,"Watermelon Sugar","C","2019-12-13","major","C major"
"45",0.713,0.798,-3.147,1,0.219,4.3e-06,0.721,176.073,221103,FALSE,73,"Infeliz","C#","2019-12-20","major","C# major"
"46",0.505,0.411,-6.904,1,0.0325,0,0.534,101.69,228506,FALSE,68,"Caballero","B","2019-10-03","major","B major"
"47",0.638,0.437,-3.857,1,0.0332,0,0.618,147.88,143933,FALSE,72,"Aquí Abajo","E","2020-09-11","major","E major"
"48",0.795,0.542,-8.106,0,0.193,0,0.55,167.823,232653,FALSE,71,"PORFA","F#","2020-04-23","minor","F# minor"
"49",0.594,0.808,-2.409,1,0.0489,1.39e-05,0.919,188.09,194892,FALSE,75,"Muévelo","G","2020-01-08","major","G major"
"50",0.854,0.525,-4.426,1,0.214,0,0.63,97.054,197586,FALSE,84,"Mi Cuarto","C#","2020-04-03","major","C# major"
"51",0.826,0.773,-4.218,0,0.0524,0,0.761,126.899,238200,FALSE,76,"Calma - Remix","B","2018-10-05","minor","B minor"
"52",0.737,0.86,-2.652,0,0.0593,1.94e-06,0.656,93.989,193226,FALSE,78,"Con Calma","G#","2019-01-24","minor","G# minor"
"53",0.877,0.777,-4.246,1,0.117,3.46e-05,0.706,102.02,231848,FALSE,77,"Te Vi","C#","2018-12-14","major","C# major"
